sourceProject,sourceScenarioKey,sourceCaseKey,caseKey,caseName,caseWeight,scenarioKey,scenario,directionalScore,legalStability,rightsProtection,democraticResponsiveness,independenceAccountabilityBalance,legitimacy,partisanAlignment,shadowDocketAbuse,constitutionalConflict,reversalRate
Supreme Court Simulator Design,automatic-merits-follow-up,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.605,0.656,0.649,0.595,0.758,0.615,0.033,0.017,0.384,0.046
Supreme Court Simulator Design,strong-recusal-enforcement,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.603,0.667,0.640,0.587,0.747,0.589,0.020,0.076,0.383,0.038
Supreme Court Simulator Design,jurisdiction-stripping-constraints,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.608,0.665,0.636,0.590,0.752,0.582,0.010,0.075,0.390,0.037
Supreme Court Simulator Design,legislative-override-window,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.604,0.664,0.638,0.591,0.748,0.582,0.010,0.075,0.394,0.036
Supreme Court Simulator Design,constitutional-remand,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.606,0.690,0.634,0.603,0.759,0.611,0.022,0.075,0.379,0.023
Supreme Court Simulator Design,public-interest-litigation-filter,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.605,0.667,0.643,0.588,0.749,0.588,0.020,0.073,0.383,0.038
Supreme Court Simulator Design,emergency-integrity-package,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.604,0.663,0.645,0.594,0.761,0.629,0.021,0.017,0.381,0.043
Supreme Court Simulator Design,remand-override-window-package,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__remand-override-window-package,Supreme Court Simulator Design: Constitutional remand with override window,0.602,0.689,0.635,0.604,0.760,0.620,0.021,0.046,0.383,0.026
Supreme Court Simulator Design,panel-jurisdiction-safeguards,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__panel-jurisdiction-safeguards,Supreme Court Simulator Design: Random panels with jurisdiction safeguards,0.600,0.666,0.634,0.588,0.751,0.620,0.034,0.069,0.391,0.037
Supreme Court Simulator Design,council-concrete-hybrid,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__council-concrete-hybrid,Supreme Court Simulator Design: Constitutional council with concrete-review backstop,0.598,0.677,0.638,0.604,0.760,0.646,0.014,0.074,0.395,0.031
Supreme Court Simulator Design,judicial-electorate-selection,low-appointment-capture,scd__low-appointment-capture,Supreme Court Simulator Design: Low Appointment Capture,0.750,scd__judicial-electorate-selection,Supreme Court Simulator Design: Judicial electorate selection court,0.597,0.661,0.646,0.593,0.750,0.602,0.015,0.077,0.390,0.040
Supreme Court Simulator Design,current-us-like,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.588,0.655,0.640,0.575,0.694,0.460,0.045,0.243,0.423,0.026
Supreme Court Simulator Design,term-limited-balanced,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.605,0.664,0.637,0.584,0.741,0.574,0.041,0.076,0.383,0.035
Supreme Court Simulator Design,nonpartisan-commission,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.603,0.665,0.637,0.584,0.742,0.581,0.034,0.078,0.386,0.036
Supreme Court Simulator Design,expanded-court-fifteen,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.600,0.667,0.635,0.583,0.742,0.584,0.032,0.077,0.385,0.033
Supreme Court Simulator Design,supermajority-review,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.605,0.671,0.630,0.578,0.737,0.566,0.045,0.067,0.385,0.030
Supreme Court Simulator Design,recusal-and-emergency-reform,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.601,0.667,0.636,0.585,0.740,0.582,0.044,0.077,0.386,0.033
Supreme Court Simulator Design,panel-en-banc,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.600,0.665,0.638,0.587,0.745,0.621,0.052,0.078,0.386,0.037
Supreme Court Simulator Design,cross-checking-courts,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.586,0.666,0.618,0.574,0.743,0.590,0.022,0.069,0.407,0.023
Supreme Court Simulator Design,dual-supreme-courts,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.576,0.640,0.639,0.588,0.741,0.599,0.021,0.068,0.420,0.036
Supreme Court Simulator Design,comparative-constitutional-senates,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__comparative-constitutional-senates,Supreme Court Simulator Design: Comparative 16-seat constitutional senates,0.596,0.676,0.629,0.577,0.743,0.614,0.029,0.067,0.383,0.026
Supreme Court Simulator Design,constitutional-council,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__constitutional-council,Supreme Court Simulator Design: Pre-enactment constitutional council,0.597,0.673,0.635,0.600,0.753,0.632,0.041,0.074,0.392,0.031
Supreme Court Simulator Design,legislative-override,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__legislative-override,Supreme Court Simulator Design: Judicial review with legislative supermajority override,0.600,0.661,0.639,0.590,0.743,0.583,0.021,0.076,0.401,0.032
Supreme Court Simulator Design,accountability-retention-court,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__accountability-retention-court,Supreme Court Simulator Design: Retention-election accountability court,0.602,0.667,0.633,0.592,0.742,0.579,0.035,0.076,0.396,0.033
Supreme Court Simulator Design,emergency-restraint-court,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__emergency-restraint-court,Supreme Court Simulator Design: No emergency relief without merits review,0.608,0.665,0.645,0.590,0.756,0.630,0.036,0.011,0.382,0.039
Supreme Court Simulator Design,randomized-merits-panels,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__randomized-merits-panels,Supreme Court Simulator Design: Randomized merits panels with en banc correction,0.599,0.666,0.637,0.585,0.743,0.622,0.050,0.077,0.387,0.036
Supreme Court Simulator Design,mandatory-written-emergency-reasoning,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__mandatory-written-emergency-reasoning,Supreme Court Simulator Design: Mandatory written emergency reasoning,0.601,0.667,0.635,0.584,0.740,0.579,0.047,0.050,0.388,0.037
Supreme Court Simulator Design,automatic-merits-follow-up,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.602,0.654,0.645,0.592,0.752,0.615,0.047,0.018,0.386,0.044
Supreme Court Simulator Design,strong-recusal-enforcement,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.599,0.664,0.635,0.583,0.743,0.595,0.031,0.074,0.385,0.034
Supreme Court Simulator Design,jurisdiction-stripping-constraints,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.605,0.663,0.638,0.588,0.747,0.580,0.021,0.076,0.393,0.037
Supreme Court Simulator Design,legislative-override-window,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.599,0.661,0.637,0.589,0.742,0.579,0.021,0.078,0.401,0.035
Supreme Court Simulator Design,constitutional-remand,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.602,0.687,0.634,0.603,0.754,0.611,0.034,0.076,0.383,0.023
Supreme Court Simulator Design,public-interest-litigation-filter,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.602,0.665,0.643,0.585,0.743,0.585,0.034,0.076,0.385,0.033
Supreme Court Simulator Design,emergency-integrity-package,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.603,0.664,0.646,0.591,0.757,0.636,0.030,0.018,0.382,0.039
Supreme Court Simulator Design,remand-override-window-package,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__remand-override-window-package,Supreme Court Simulator Design: Constitutional remand with override window,0.599,0.692,0.630,0.599,0.754,0.615,0.032,0.051,0.384,0.021
Supreme Court Simulator Design,panel-jurisdiction-safeguards,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__panel-jurisdiction-safeguards,Supreme Court Simulator Design: Random panels with jurisdiction safeguards,0.599,0.668,0.632,0.584,0.747,0.621,0.050,0.068,0.392,0.035
Supreme Court Simulator Design,council-concrete-hybrid,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__council-concrete-hybrid,Supreme Court Simulator Design: Constitutional council with concrete-review backstop,0.595,0.675,0.637,0.601,0.754,0.640,0.028,0.077,0.396,0.029
Supreme Court Simulator Design,judicial-electorate-selection,extreme-appointment-capture,scd__extreme-appointment-capture,Supreme Court Simulator Design: Extreme Appointment Capture,1.000,scd__judicial-electorate-selection,Supreme Court Simulator Design: Judicial electorate selection court,0.594,0.665,0.640,0.587,0.744,0.598,0.027,0.079,0.388,0.038
Supreme Court Simulator Design,current-us-like,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.600,0.664,0.629,0.571,0.719,0.478,0.032,0.185,0.387,0.032
Supreme Court Simulator Design,term-limited-balanced,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.612,0.662,0.638,0.581,0.754,0.567,0.033,0.056,0.365,0.046
Supreme Court Simulator Design,nonpartisan-commission,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.611,0.664,0.638,0.583,0.757,0.576,0.022,0.058,0.366,0.045
Supreme Court Simulator Design,expanded-court-fifteen,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.606,0.667,0.637,0.581,0.755,0.577,0.021,0.058,0.366,0.037
Supreme Court Simulator Design,supermajority-review,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.616,0.674,0.630,0.577,0.754,0.563,0.033,0.049,0.362,0.036
Supreme Court Simulator Design,recusal-and-emergency-reform,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.609,0.667,0.633,0.579,0.754,0.569,0.032,0.056,0.363,0.037
Supreme Court Simulator Design,panel-en-banc,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.609,0.668,0.634,0.582,0.759,0.612,0.039,0.059,0.364,0.040
Supreme Court Simulator Design,cross-checking-courts,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.595,0.669,0.616,0.571,0.757,0.576,0.014,0.050,0.384,0.026
Supreme Court Simulator Design,dual-supreme-courts,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.584,0.644,0.634,0.582,0.754,0.583,0.013,0.050,0.394,0.042
Supreme Court Simulator Design,comparative-constitutional-senates,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__comparative-constitutional-senates,Supreme Court Simulator Design: Comparative 16-seat constitutional senates,0.606,0.678,0.629,0.575,0.760,0.609,0.019,0.048,0.361,0.030
Supreme Court Simulator Design,constitutional-council,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__constitutional-council,Supreme Court Simulator Design: Pre-enactment constitutional council,0.607,0.678,0.631,0.594,0.767,0.623,0.028,0.057,0.369,0.032
Supreme Court Simulator Design,legislative-override,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__legislative-override,Supreme Court Simulator Design: Judicial review with legislative supermajority override,0.608,0.663,0.636,0.585,0.757,0.573,0.014,0.058,0.377,0.038
Supreme Court Simulator Design,accountability-retention-court,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__accountability-retention-court,Supreme Court Simulator Design: Retention-election accountability court,0.610,0.670,0.631,0.590,0.756,0.575,0.022,0.057,0.376,0.036
Supreme Court Simulator Design,emergency-restraint-court,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__emergency-restraint-court,Supreme Court Simulator Design: No emergency relief without merits review,0.615,0.669,0.636,0.581,0.766,0.603,0.023,0.008,0.359,0.042
Supreme Court Simulator Design,randomized-merits-panels,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__randomized-merits-panels,Supreme Court Simulator Design: Randomized merits panels with en banc correction,0.608,0.666,0.636,0.582,0.759,0.615,0.034,0.057,0.364,0.042
Supreme Court Simulator Design,mandatory-written-emergency-reasoning,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__mandatory-written-emergency-reasoning,Supreme Court Simulator Design: Mandatory written emergency reasoning,0.610,0.669,0.634,0.579,0.756,0.570,0.032,0.035,0.363,0.040
Supreme Court Simulator Design,automatic-merits-follow-up,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.610,0.663,0.634,0.580,0.763,0.588,0.029,0.013,0.359,0.047
Supreme Court Simulator Design,strong-recusal-enforcement,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.607,0.664,0.634,0.581,0.756,0.582,0.021,0.058,0.365,0.041
Supreme Court Simulator Design,jurisdiction-stripping-constraints,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.612,0.663,0.634,0.582,0.761,0.573,0.014,0.056,0.370,0.041
Supreme Court Simulator Design,legislative-override-window,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.609,0.665,0.635,0.586,0.757,0.572,0.014,0.058,0.376,0.041
Supreme Court Simulator Design,constitutional-remand,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.612,0.692,0.631,0.594,0.767,0.598,0.020,0.058,0.359,0.028
Supreme Court Simulator Design,public-interest-litigation-filter,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.610,0.668,0.642,0.583,0.757,0.579,0.023,0.056,0.366,0.037
Supreme Court Simulator Design,emergency-integrity-package,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.609,0.667,0.639,0.583,0.767,0.608,0.021,0.013,0.361,0.044
Supreme Court Simulator Design,remand-override-window-package,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__remand-override-window-package,Supreme Court Simulator Design: Constitutional remand with override window,0.608,0.689,0.634,0.595,0.768,0.606,0.022,0.035,0.363,0.029
Supreme Court Simulator Design,panel-jurisdiction-safeguards,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__panel-jurisdiction-safeguards,Supreme Court Simulator Design: Random panels with jurisdiction safeguards,0.607,0.668,0.630,0.581,0.762,0.613,0.033,0.051,0.370,0.038
Supreme Court Simulator Design,council-concrete-hybrid,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__council-concrete-hybrid,Supreme Court Simulator Design: Constitutional council with concrete-review backstop,0.604,0.677,0.636,0.595,0.769,0.630,0.017,0.057,0.372,0.030
Supreme Court Simulator Design,judicial-electorate-selection,low-emergency-pressure,scd__low-emergency-pressure,Supreme Court Simulator Design: Low Emergency Pressure,0.750,scd__judicial-electorate-selection,Supreme Court Simulator Design: Judicial electorate selection court,0.603,0.667,0.637,0.583,0.759,0.589,0.018,0.058,0.365,0.040
Supreme Court Simulator Design,current-us-like,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.504,0.537,0.665,0.595,0.579,0.384,0.070,0.457,0.650,0.072
Supreme Court Simulator Design,term-limited-balanced,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.519,0.558,0.629,0.617,0.649,0.577,0.072,0.178,0.588,0.128
Supreme Court Simulator Design,nonpartisan-commission,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.518,0.561,0.626,0.618,0.653,0.587,0.047,0.180,0.590,0.127
Supreme Court Simulator Design,expanded-court-fifteen,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.511,0.555,0.629,0.620,0.650,0.594,0.045,0.181,0.594,0.132
Supreme Court Simulator Design,supermajority-review,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.522,0.581,0.617,0.607,0.638,0.557,0.078,0.169,0.595,0.098
Supreme Court Simulator Design,recusal-and-emergency-reform,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.513,0.554,0.627,0.620,0.649,0.588,0.077,0.179,0.591,0.137
Supreme Court Simulator Design,panel-en-banc,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.515,0.558,0.634,0.621,0.654,0.633,0.072,0.180,0.591,0.129
Supreme Court Simulator Design,cross-checking-courts,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.502,0.581,0.603,0.594,0.646,0.583,0.031,0.170,0.616,0.069
Supreme Court Simulator Design,dual-supreme-courts,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.476,0.516,0.629,0.622,0.646,0.593,0.029,0.172,0.630,0.140
Supreme Court Simulator Design,comparative-constitutional-senates,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__comparative-constitutional-senates,Supreme Court Simulator Design: Comparative 16-seat constitutional senates,0.515,0.591,0.617,0.603,0.649,0.616,0.043,0.169,0.592,0.085
Supreme Court Simulator Design,constitutional-council,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__constitutional-council,Supreme Court Simulator Design: Pre-enactment constitutional council,0.510,0.569,0.634,0.650,0.667,0.664,0.055,0.180,0.607,0.116
Supreme Court Simulator Design,legislative-override,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__legislative-override,Supreme Court Simulator Design: Judicial review with legislative supermajority override,0.512,0.550,0.633,0.631,0.652,0.593,0.029,0.181,0.614,0.133
Supreme Court Simulator Design,accountability-retention-court,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__accountability-retention-court,Supreme Court Simulator Design: Retention-election accountability court,0.517,0.564,0.622,0.632,0.652,0.591,0.047,0.180,0.605,0.120
Supreme Court Simulator Design,emergency-restraint-court,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__emergency-restraint-court,Supreme Court Simulator Design: No emergency relief without merits review,0.516,0.507,0.650,0.646,0.689,0.697,0.044,0.047,0.586,0.195
Supreme Court Simulator Design,randomized-merits-panels,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__randomized-merits-panels,Supreme Court Simulator Design: Randomized merits panels with en banc correction,0.514,0.562,0.629,0.619,0.653,0.633,0.074,0.183,0.592,0.128
Supreme Court Simulator Design,mandatory-written-emergency-reasoning,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__mandatory-written-emergency-reasoning,Supreme Court Simulator Design: Mandatory written emergency reasoning,0.517,0.573,0.619,0.612,0.647,0.575,0.075,0.139,0.591,0.117
Supreme Court Simulator Design,automatic-merits-follow-up,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.504,0.490,0.643,0.647,0.679,0.669,0.071,0.058,0.589,0.216
Supreme Court Simulator Design,strong-recusal-enforcement,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.514,0.561,0.629,0.618,0.654,0.604,0.041,0.181,0.590,0.127
Supreme Court Simulator Design,jurisdiction-stripping-constraints,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.516,0.553,0.629,0.625,0.656,0.588,0.029,0.181,0.605,0.126
Supreme Court Simulator Design,legislative-override-window,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.514,0.554,0.629,0.629,0.655,0.587,0.029,0.177,0.605,0.132
Supreme Court Simulator Design,constitutional-remand,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.519,0.596,0.626,0.644,0.664,0.630,0.048,0.184,0.593,0.091
Supreme Court Simulator Design,public-interest-litigation-filter,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.520,0.568,0.636,0.619,0.654,0.598,0.046,0.179,0.591,0.119
Supreme Court Simulator Design,emergency-integrity-package,extreme-emergency-pressure,scd__extreme-emergency-pressure,Supreme Court Simulator Design: Extreme Emergency Pressure,1.000,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.505,0.501,0.649,0.648,0.685,0.703,0.043,0.060,0.593,0.199
